Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
PROJ_0011,Healthcare,26,302684.55,11,9.38,18,Scrum,Mid-level,2,2,0.78,Closure,Moderate,0.15,0.79,1,3.44,Low,Familiar,1,High,0.35,0.65,Moderate,Internal,0.05,7.71,0.73,Low,2.67,8,0.56,0.44,Junior PM,Managed,High,Moderate,Poor,Cost-Plus,Medium,Moderate,First-time,Advanced,Advanced,Hybrid,Poor,1,6,1.16,Low
PROJ_0012,Healthcare,19,694964.06,8,7.72,15,Scrum,Senior,1,3,1.56,Planning,Unstable,0.50,0.67,4,6.14,Critical,Expert,1,Medium,0.52,0.83,Strong,Mixed,0.14,9.58,0.99,High,2.87,6,0.68,0.97,Junior PM,Managed,High,Good,Poor,Fixed-Price,Medium,High,Regular,Advanced,Formal,Fully Colocated,Excellent,4,1,1.19,High
PROJ_0013,R&D,35,1557845.08,17,7.24,2,Agile,Senior,4,3,0.42,Planning,Stable,0.07,0.91,0,5.26,Low,New,3,High,0.47,0.73,Moderate,Mixed,0.96,4.61,0.33,High,1.75,8,0.66,0.44,Mid-level PM,Optimizing,High,Poor,Stable,Time & Materials,High,Moderate,Occasional,Basic,Advanced,Fully Colocated,Excellent,1,6,0.83,Low
PROJ_0014,IT,35,2803888.22,13,3.95,17,Agile,Mixed,3,3,0.50,Closure,Stable,0.09,0.83,2,2.86,Medium,Expert,4,Excellent,0.01,0.91,Strong,Mixed,0.33,6.62,0.98,Medium,0.47,2,0.53,0.60,Mid-level PM,Managed,High,Poor,Poor,Cost-Plus,High,Moderate,First-time,Formal,Advanced,Hybrid,Excellent,7,5,0.96,High
PROJ_0015,Healthcare,40,370045.76,15,5.87,6,Waterfall,Mid-level,1,2,0.87,Execution,Stable,0.44,0.77,1,2.42,Medium,Expert,4,Excellent,0.37,0.42,Strong,Mixed,0.67,9.62,0.71,Low,1.45,3,0.68,0.23,Junior PM,Optimizing,Low,Good,Moderate,Cost-Plus,Medium,Moderate,Occasional,Basic,Basic,Fully Remote,Poor,5,3,1.18,Medium
PROJ_0016,R&D,28,2065189.07,10,6.90,13,Waterfall,Mixed,0,3,1.26,Initiation,Moderate,0.00,0.69,4,6.13,Critical,Expert,1,Excellent,0.67,0.49,Weak,External,0.22,2.67,0.94,Critical,1.50,9,0.94,0.67,Mid-level PM,Optimizing,High,Good,Stable,Fixed-Price,High,Extreme,Strategic,Basic,None,Fully Remote,Basic,9,10,1.15,Low
PROJ_0017,R&D,49,2107276.04,25,1.71,8,Waterfall,Junior,0,4,1.41,Execution,Stable,0.34,0.48,4,4.53,High,Familiar,2,Medium,0.20,0.90,Weak,Internal,0.98,6.51,0.58,Critical,1.73,4,0.88,0.51,Junior PM,Optimizing,Strict,Excellent,Moderate,Cost-Plus,Low,Low,First-time,Advanced,Basic,Fully Colocated,Basic,6,5,1.19,High
PROJ_0018,IT,33,1769371.82,7,7.76,2,Waterfall,Mixed,4,2,0.71,Initiation,Unstable,0.59,0.87,1,1.19,High,Expert,3,High,0.28,0.72,Strong,External,0.72,9.44,0.47,Medium,1.53,7,0.80,0.47,Senior PM,Managed,High,Poor,Poor,Cost-Plus,Low,Extreme,First-time,Advanced,None,Fully Remote,Basic,3,5,1.16,High
PROJ_0019,R&D,16,2458944.19,35,5.32,16,Waterfall,Junior,1,2,0.80,Initiation,Moderate,0.31,0.47,2,3.36,Low,Familiar,2,Excellent,0.09,0.46,Strong,Government,0.43,7.41,0.35,Medium,0.27,2,0.70,0.52,Mid-level PM,Managed,Medium,Good,Stable,Time & Materials,Medium,High,First-time,Basic,Advanced,Fully Colocated,Basic,11,1,0.83,High
PROJ_0020,R&D,28,387248.69,34,2.51,10,Waterfall,Senior,0,4,1.23,Initiation,Moderate,0.10,0.42,1,4.15,High,New,1,High,0.40,0.82,Weak,Internal,0.37,5.49,0.64,Critical,0.66,2,0.40,0.66,Mid-level PM,Managed,Medium,Good,Stable,Cost-Plus,Medium,Low,First-time,Formal,Formal,Fully Colocated,Basic,11,11,0.92,Critical
PROJ_0021,R&D,34,2860031.46,33,6.30,7,Scrum,Junior,0,3,1.65,Initiation,Moderate,0.13,0.79,0,3.00,High,New,4,High,0.71,1.16,Strong,Mixed,0.76,6.88,0.50,Critical,0.27,2,0.43,0.63,Senior PM,Optimizing,Low,Poor,Poor,Time & Materials,High,Moderate,First-time,Basic,Advanced,Fully Remote,Good,9,10,1.05,High
PROJ_0022,IT,35,525637.67,35,5.73,16,Waterfall,Junior,1,2,1.35,Execution,Moderate,0.27,0.77,2,5.32,Critical,New,3,High,0.83,0.52,Weak,Mixed,0.73,2.24,0.70,High,2.21,7,0.58,0.05,Mid-level PM,Optimizing,Medium,Poor,Poor,Cost-Plus,High,Extreme,Occasional,Advanced,Formal,Fully Colocated,Poor,4,10,0.80,Low
PROJ_0023,R&D,39,1653321.33,8,6.24,14,Scrum,Mid-level,1,2,2.71,Closure,Stable,0.03,0.92,1,1.86,Medium,Familiar,1,Medium,0.78,0.74,Strong,Internal,0.87,4.65,0.73,Low,2.35,6,0.78,0.70,Junior PM,Ad-hoc,High,Excellent,Poor,Cost-Plus,Medium,Low,Regular,Advanced,Formal,Fully Colocated,Poor,3,6,0.97,Medium
PROJ_0024,Construction,49,2968824.91,23,6.28,3,Waterfall,Mixed,3,3,2.41,Planning,Unstable,0.52,0.34,0,3.28,Low,Expert,1,High,0.13,1.03,Strong,External,0.77,9.94,0.33,Low,0.91,3,0.54,0.75,Junior PM,Optimizing,Medium,Poor,Poor,Time & Materials,High,Extreme,First-time,Formal,None,Hybrid,Good,4,6,0.80,Critical
PROJ_0025,Manufacturing,12,2064228.72,16,6.37,7,Waterfall,Mid-level,3,4,2.93,Initiation,Moderate,0.34,0.68,1,3.99,High,New,4,Excellent,0.75,0.91,Moderate,Government,0.17,7.94,0.97,Low,2.17,9,0.73,0.09,Mid-level PM,Managed,Low,Good,Poor,Cost-Plus,Medium,Moderate,Regular,Formal,None,Fully Remote,Basic,5,6,0.87,Low
PROJ_0026,R&D,48,2162963.54,18,4.28,10,Scrum,Junior,2,4,0.44,Execution,Stable,0.28,0.76,2,6.42,Low,Expert,2,High,0.75,0.42,Weak,Mixed,0.95,4.56,0.36,Medium,2.83,9,0.93,0.63,Junior PM,Defined,High,Moderate,Moderate,Cost-Plus,Medium,Low,Occasional,Formal,Basic,Fully Remote,Poor,4,6,0.95,Low
PROJ_0027,Construction,32,1941588.20,35,9.64,11,Scrum,Senior,1,1,2.39,Planning,Unstable,0.18,0.65,4,3.73,Medium,Familiar,1,Low,0.37,0.77,Moderate,External,0.97,1.29,0.54,Medium,0.01,6,0.74,0.74,Junior PM,Ad-hoc,Strict,Moderate,Moderate,Cost-Plus,Medium,Moderate,Occasional,Formal,Advanced,Hybrid,Excellent,10,9,1.00,High
PROJ_0028,Manufacturing,15,1308500.86,6,9.69,2,Scrum,Mixed,1,4,0.21,Planning,Unstable,0.17,0.96,1,5.07,Low,Familiar,2,High,0.20,0.70,Weak,Government,0.44,8.91,0.30,High,1.35,9,0.91,0.48,Senior PM,Ad-hoc,Strict,Moderate,Stable,Time & Materials,Medium,Moderate,First-time,Formal,Advanced,Fully Colocated,Basic,11,7,1.04,Low
PROJ_0029,IT,17,2659432.22,16,4.17,18,Agile,Mid-level,3,0,2.58,Closure,Moderate,0.38,0.50,4,5.97,Medium,Expert,4,Excellent,0.67,1.10,Moderate,Mixed,0.92,4.91,0.31,Medium,1.80,2,0.83,0.57,Junior PM,Ad-hoc,Medium,Excellent,Poor,Time & Materials,High,Moderate,Strategic,Formal,Formal,Fully Remote,Excellent,11,9,0.91,Medium
PROJ_0030,Construction,30,2194815.51,11,1.53,16,Waterfall,Mid-level,1,3,1.56,Closure,Unstable,0.41,0.89,2,2.80,High,New,2,Low,0.42,0.81,Weak,Internal,0.31,3.80,0.67,Medium,0.20,4,0.60,0.72,Junior PM,Ad-hoc,Low,Poor,Stable,Fixed-Price,High,Low,Strategic,Formal,Advanced,Hybrid,Excellent,5,6,1.01,High
PROJ_0031,R&D,24,2648354.58,28,4.46,10,Scrum,Junior,0,1,1.92,Closure,Moderate,0.30,0.36,3,5.90,Critical,Familiar,1,Excellent,0.41,1.18,Moderate,Internal,0.31,9.75,0.36,High,1.51,6,0.61,0.75,Junior PM,Optimizing,Medium,Moderate,Moderate,Time & Materials,Low,Moderate,Strategic,Advanced,Advanced,Hybrid,Basic,2,11,1.18,High
PROJ_0032,R&D,46,2269844.38,23,4.37,8,Hybrid,Junior,4,0,1.14,Closure,Moderate,0.09,0.99,1,5.01,High,Expert,3,High,0.69,0.60,Moderate,External,0.31,4.35,0.90,Medium,1.45,9,0.95,0.56,Senior PM,Defined,Strict,Excellent,Poor,Cost-Plus,Low,Moderate,Regular,Advanced,Formal,Fully Colocated,Basic,8,1,1.05,Low
PROJ_0033,Healthcare,10,987928.25,4,3.35,2,Hybrid,Mixed,1,2,0.26,Initiation,Unstable,0.52,0.46,0,4.91,Low,Expert,1,High,0.52,1.11,Weak,External,0.14,2.16,0.42,Critical,0.56,2,0.75,0.93,Mid-level PM,Ad-hoc,Low,Good,Moderate,Cost-Plus,High,Moderate,First-time,Advanced,Advanced,Fully Remote,Excellent,5,1,0.81,Critical
PROJ_0034,R&D,6,1419732.65,7,3.90,11,Waterfall,Mixed,3,1,1.46,Execution,Unstable,0.36,0.78,2,2.82,Critical,New,4,Excellent,0.12,0.32,Weak,Mixed,0.59,6.55,0.94,Low,1.93,7,0.74,0.46,Mid-level PM,Defined,Low,Good,Poor,Time & Materials,Medium,Low,First-time,Advanced,Advanced,Hybrid,Good,9,2,0.89,Low
PROJ_0035,R&D,2,1693520.74,17,9.96,7,Kanban,Senior,3,4,1.64,Closure,Unstable,0.24,0.75,0,5.94,Critical,Expert,1,High,0.50,1.01,Strong,Government,0.53,8.90,0.71,Low,1.63,4,0.74,0.88,Junior PM,Defined,High,Excellent,Stable,Time & Materials,Low,Extreme,Strategic,Advanced,Basic,Fully Colocated,Poor,6,6,1.02,Medium
PROJ_0036,R&D,12,2496899.63,30,4.06,17,Waterfall,Junior,2,4,1.53,Closure,Stable,0.06,0.96,1,6.92,Critical,Expert,1,Excellent,0.02,0.31,Strong,Government,0.63,2.14,0.82,High,1.27,9,0.98,0.73,Mid-level PM,Managed,Medium,Excellent,Moderate,Cost-Plus,Medium,Moderate,Regular,Advanced,Advanced,Hybrid,Excellent,4,10,1.13,Low
PROJ_0037,IT,27,1773413.14,34,9.57,4,Kanban,Mid-level,4,4,2.90,Closure,Stable,0.47,0.52,1,3.90,Low,Familiar,3,Excellent,0.57,0.94,Moderate,Mixed,0.52,6.73,0.33,High,2.58,4,0.92,0.63,Mid-level PM,Optimizing,Medium,Excellent,Moderate,Fixed-Price,Medium,Low,Regular,Formal,Advanced,Fully Remote,Excellent,11,3,0.85,Critical
PROJ_0038,Construction,40,2480173.32,12,9.15,8,Hybrid,Mixed,2,0,0.69,Closure,Moderate,0.35,0.64,0,1.82,Low,Expert,3,High,0.18,0.89,Moderate,Government,0.28,1.06,0.97,Low,2.93,7,0.89,0.17,Junior PM,Managed,High,Moderate,Poor,Fixed-Price,High,Extreme,Strategic,Basic,Basic,Fully Colocated,Good,11,11,1.11,Low
PROJ_0039,Construction,39,1430583.82,31,4.34,6,Agile,Mixed,3,1,2.44,Planning,Moderate,0.40,0.56,4,2.19,Medium,New,2,High,0.11,0.46,Strong,External,0.32,2.05,0.60,High,1.79,1,0.45,0.23,Junior PM,Managed,Medium,Good,Moderate,Fixed-Price,High,Extreme,First-time,Formal,None,Hybrid,Good,6,9,0.97,Low
PROJ_0040,R&D,48,2399359.37,32,8.80,14,Hybrid,Senior,2,1,2.36,Execution,Moderate,0.54,0.92,3,6.93,High,Expert,2,Low,0.76,1.10,Strong,External,0.39,6.53,0.99,Medium,2.90,5,0.42,0.06,Mid-level PM,Defined,High,Excellent,Moderate,Fixed-Price,Low,Moderate,Strategic,Advanced,Basic,Fully Colocated,Excellent,5,11,1.02,Critical
PROJ_0041,R&D,40,1620602.55,18,1.53,19,Scrum,Mid-level,2,3,3.00,Planning,Moderate,0.25,0.43,0,1.44,High,Expert,1,Medium,0.43,1.00,Moderate,Government,0.98,6.91,0.55,High,0.36,7,0.83,0.71,Junior PM,Defined,Low,Good,Poor,Time & Materials,High,Moderate,Strategic,Advanced,None,Fully Colocated,Basic,9,3,0.80,High
PROJ_0042,IT,24,2177511.62,27,6.92,13,Agile,Mid-level,0,1,0.99,Planning,Stable,0.20,0.58,4,1.66,Low,Familiar,1,Excellent,0.20,1.17,Moderate,Mixed,0.19,6.46,0.60,High,0.88,4,0.57,0.04,Junior PM,Defined,Medium,Good,Stable,Cost-Plus,Medium,Low,Strategic,Basic,Basic,Hybrid,Excellent,8,5,0.99,Medium
PROJ_0043,Manufacturing,46,2011028.85,25,1.56,15,Agile,Mid-level,1,4,0.66,Execution,Stable,0.20,0.37,2,5.50,High,Expert,2,Low,0.43,0.90,Weak,Government,0.98,9.32,0.78,Medium,1.86,7,0.56,0.98,Junior PM,Managed,High,Poor,Poor,Fixed-Price,High,Low,Occasional,Advanced,Basic,Hybrid,Good,9,8,0.96,Critical
PROJ_0044,Construction,30,708012.97,23,5.69,6,Scrum,Mixed,1,4,2.87,Execution,Moderate,0.57,0.53,2,3.57,High,New,3,Low,0.80,0.68,Moderate,Internal,0.38,7.61,0.34,Critical,2.15,6,0.95,0.32,Junior PM,Optimizing,Medium,Poor,Poor,Fixed-Price,Medium,Moderate,Regular,Advanced,Advanced,Hybrid,Good,6,7,1.18,High
PROJ_0045,Construction,20,956467.88,16,8.26,3,Hybrid,Mid-level,4,0,2.87,Closure,Moderate,0.18,0.40,4,3.51,Low,Expert,2,Low,0.02,1.08,Strong,External,0.61,4.64,0.99,Medium,2.79,8,0.85,0.42,Mid-level PM,Defined,High,Good,Poor,Fixed-Price,Low,High,Regular,Basic,Advanced,Hybrid,Good,5,11,1.20,High
PROJ_0046,Healthcare,20,1846306.27,10,1.93,18,Agile,Senior,0,2,2.93,Planning,Unstable,0.01,0.41,0,4.87,High,Familiar,3,Excellent,0.43,0.42,Moderate,Government,0.31,1.48,0.34,Low,0.86,5,0.78,0.68,Junior PM,Ad-hoc,High,Good,Poor,Fixed-Price,Medium,Moderate,Occasional,Advanced,None,Fully Colocated,Poor,8,10,1.03,High
PROJ_0047,IT,5,2691532.26,15,6.05,14,Kanban,Junior,2,4,2.18,Planning,Stable,0.39,0.73,2,4.76,Medium,New,4,Medium,0.81,0.47,Weak,External,0.09,9.68,0.93,Critical,2.35,3,1.00,0.45,Junior PM,Managed,Strict,Moderate,Stable,Time & Materials,High,Extreme,Regular,Advanced,Formal,Fully Colocated,Poor,2,8,1.19,Low
PROJ_0048,Construction,40,1522948.09,6,5.70,16,Kanban,Junior,3,3,2.54,Planning,Stable,0.40,0.60,2,3.85,High,Expert,4,Excellent,0.37,0.36,Weak,External,0.28,9.79,0.70,High,0.66,8,0.84,0.12,Junior PM,Managed,Medium,Good,Stable,Cost-Plus,Low,Moderate,Occasional,Basic,None,Fully Remote,Basic,7,8,0.86,Low
PROJ_0049,IT,11,2965092.17,32,1.61,11,Kanban,Junior,1,1,1.15,Closure,Unstable,0.54,0.93,0,2.10,High,Familiar,2,Excellent,0.18,0.52,Moderate,Government,0.51,8.44,0.95,Medium,1.36,2,0.60,0.09,Mid-level PM,Managed,Low,Good,Stable,Cost-Plus,High,Extreme,Strategic,Formal,None,Fully Remote,Basic,9,11,0.81,Medium
PROJ_0050,IT,41,1988590.90,5,8.66,11,Waterfall,Mixed,1,0,1.46,Initiation,Unstable,0.49,0.80,1,3.83,Medium,Expert,4,Excellent,0.93,0.56,Weak,Internal,0.42,6.79,0.72,Low,1.85,6,0.41,0.74,Senior PM,Defined,Strict,Good,Poor,Fixed-Price,Low,Extreme,Strategic,Formal,Formal,Fully Colocated,Poor,11,2,0.89,High
PROJ_0051,R&D,47,2594809.67,31,3.52,19,Kanban,Mixed,3,3,1.68,Planning,Moderate,0.30,0.52,0,3.49,Medium,Expert,2,Excellent,0.18,0.98,Strong,Mixed,0.42,4.35,0.53,Critical,0.77,2,0.73,0.83,Senior PM,Defined,Low,Good,Stable,Cost-Plus,Low,High,First-time,Basic,Advanced,Hybrid,Excellent,2,10,1.17,Low
PROJ_0052,Healthcare,48,240867.80,10,7.91,8,Kanban,Senior,2,3,1.55,Initiation,Moderate,0.52,0.73,3,6.68,Critical,New,4,High,0.68,0.79,Strong,External,0.36,4.33,0.63,Low,0.74,0,0.85,0.33,Senior PM,Managed,High,Excellent,Moderate,Fixed-Price,Low,Moderate,Regular,Advanced,Formal,Hybrid,Good,11,10,0.88,High
PROJ_0053,Healthcare,42,2683955.16,16,6.53,2,Waterfall,Mid-level,1,4,1.74,Closure,Stable,0.29,0.85,0,1.42,Low,New,3,Excellent,0.73,0.58,Weak,Mixed,0.01,7.89,0.91,Medium,2.55,2,0.92,0.77,Mid-level PM,Ad-hoc,Strict,Moderate,Stable,Cost-Plus,Medium,High,First-time,Formal,Basic,Hybrid,Poor,3,2,0.87,Low
PROJ_0054,R&D,41,2407151.93,18,3.24,14,Kanban,Junior,1,4,1.95,Initiation,Moderate,0.41,0.34,4,5.20,Critical,Familiar,4,Excellent,0.87,0.69,Weak,External,0.63,9.55,0.90,Medium,2.67,1,0.79,0.41,Junior PM,Managed,High,Good,Poor,Time & Materials,Low,High,Regular,Advanced,None,Fully Remote,Basic,8,6,1.01,High
PROJ_0055,Manufacturing,43,950150.45,32,2.42,4,Hybrid,Mid-level,1,0,0.90,Planning,Unstable,0.08,0.68,1,2.46,Medium,Familiar,1,Medium,0.13,0.47,Moderate,Internal,0.56,6.89,0.90,High,2.66,8,0.84,0.79,Junior PM,Optimizing,Low,Moderate,Stable,Time & Materials,Low,Extreme,Occasional,Basic,Advanced,Hybrid,Basic,8,3,1.01,Low
PROJ_0056,Healthcare,32,372260.38,31,1.89,12,Waterfall,Junior,3,0,1.01,Closure,Unstable,0.43,0.73,3,4.77,High,New,4,High,0.42,0.86,Moderate,Mixed,0.10,2.03,0.95,Low,0.07,1,0.92,0.60,Junior PM,Optimizing,High,Poor,Poor,Cost-Plus,Low,Low,Regular,Advanced,Basic,Fully Remote,Basic,5,10,0.89,High
PROJ_0057,IT,49,795718.24,8,7.31,8,Kanban,Mixed,2,4,1.10,Closure,Unstable,0.47,0.89,3,4.82,High,Expert,2,Excellent,0.56,0.68,Moderate,Mixed,0.97,4.27,0.91,High,1.17,8,0.93,0.07,Mid-level PM,Managed,Strict,Excellent,Poor,Fixed-Price,Medium,Low,First-time,Basic,Formal,Fully Remote,Excellent,4,5,1.05,High
PROJ_0058,IT,19,1918971.24,11,2.31,2,Kanban,Mixed,0,3,2.94,Execution,Unstable,0.23,0.47,1,1.47,High,New,4,Medium,0.01,0.92,Strong,Mixed,0.66,7.77,0.55,Low,2.10,5,0.63,0.75,Senior PM,Optimizing,Strict,Moderate,Stable,Fixed-Price,High,High,Occasional,Basic,None,Fully Colocated,Poor,5,1,0.84,High
PROJ_0059,R&D,23,1472214.82,7,2.36,12,Agile,Mixed,3,2,1.16,Planning,Moderate,0.50,0.56,4,3.67,Medium,Expert,4,Medium,0.39,0.83,Strong,Government,0.40,8.83,0.85,Medium,0.20,4,0.52,0.76,Mid-level PM,Ad-hoc,Medium,Good,Stable,Fixed-Price,High,Low,Regular,Advanced,None,Hybrid,Basic,5,1,1.08,Critical
PROJ_0060,Manufacturing,34,2394088.70,21,8.03,8,Hybrid,Senior,4,3,1.17,Initiation,Stable,0.05,0.82,2,4.90,High,New,2,High,0.66,0.58,Moderate,External,0.71,4.02,0.38,Critical,1.65,1,0.66,0.90,Junior PM,Defined,High,Poor,Stable,Fixed-Price,Medium,Low,Regular,Advanced,Advanced,Hybrid,Excellent,9,8,0.86,Medium
PROJ_0061,Manufacturing,35,2434004.75,10,4.61,18,Scrum,Junior,4,2,0.11,Initiation,Moderate,0.27,0.67,1,5.67,Critical,Familiar,4,High,0.53,0.97,Moderate,External,0.56,1.38,0.31,Critical,0.76,4,0.54,0.32,Mid-level PM,Managed,High,Good,Poor,Cost-Plus,Medium,Low,Regular,Formal,Formal,Fully Remote,Good,3,2,0.94,Medium
PROJ_0062,Manufacturing,22,2200315.01,16,1.95,11,Kanban,Mid-level,0,4,2.89,Initiation,Stable,0.34,0.48,2,2.02,High,Expert,1,High,0.77,1.02,Moderate,Government,0.40,6.36,0.58,Critical,1.46,2,0.61,0.79,Junior PM,Managed,High,Moderate,Moderate,Fixed-Price,High,Moderate,Regular,Formal,Advanced,Fully Colocated,Poor,4,3,0.99,High
PROJ_0063,R&D,15,2715762.96,34,7.56,4,Scrum,Mid-level,4,2,1.99,Planning,Unstable,0.49,0.73,4,6.01,High,New,2,Excellent,0.19,0.75,Strong,Government,0.23,9.98,0.31,Critical,1.70,9,0.60,0.85,Junior PM,Optimizing,High,Moderate,Poor,Time & Materials,Low,High,First-time,Formal,Formal,Hybrid,Excellent,10,3,0.90,High
PROJ_0064,R&D,30,2124054.25,13,6.63,15,Kanban,Junior,1,3,2.89,Execution,Stable,0.57,0.98,3,3.61,Low,Familiar,4,Excellent,0.81,0.61,Weak,External,0.36,6.85,0.38,High,0.65,8,0.42,0.55,Junior PM,Managed,Medium,Poor,Stable,Cost-Plus,High,High,Occasional,Basic,Advanced,Fully Colocated,Basic,1,2,1.12,High
